Uid,Sid,Key,Time,Value,UpdateTime
6804018672,893061509,calories,1748439480,"{""time"":1748439480,""calories"":5}",1748488483
6804018672,hlth.gen_125884730179666,steps,1748439420,"{""time"":1748439420,""steps"":14,""distance"":8,""calories"":0.56}",1748446316
6804018672,893061509,calories,1748439420,"{""time"":1748439420,""calories"":5}",1748488483
6804018672,hlth.gen_125884730179666,calories,1748439420,"{""time"":1748439420,""calories"":0.56}",1748446318
6804018672,893061509,calories,1748439360,"{""time"":1748439360,""calories"":2}",1748488483
6804018672,hlth.gen_125884730179666,calories,1748439360,"{""time"":1748439360,""calories"":1}",1748446318
6804018672,hlth.gen_125884730179666,steps,1748439360,"{""time"":1748439360,""steps"":25,""distance"":15,""calories"":1}",1748446316
6804018672,893061509,calories,1748439300,"{""time"":1748439300,""calories"":2}",1748488483
6804018672,hlth.gen_125884730179666,calories,1748439240,"{""time"":1748439240,""calories"":0.39999998}",1748446318
6804018672,hlth.gen_125884730179666,steps,1748439240,"{""time"":1748439240,""steps"":10,""distance"":6,""calories"":0.39999998}",1748446316
6804018672,893061509,calories,1748439180,"{""time"":1748439180,""calories"":1}",1748488483
6804018672,893061509,calories,1748439120,"{""time"":1748439120,""calories"":2}",1748488483
6804018672,hlth.gen_125884730179666,steps,1748439120,"{""time"":1748439120,""steps"":14,""distance"":8,""calories"":0.56}",1748446316
6804018672,hlth.gen_125884730179666,calories,1748439120,"{""time"":1748439120,""calories"":0.56}",1748446318
6804018672,893061509,calories,1748439060,"{""time"":1748439060,""calories"":3}",1748488483
6804018672,893061509,calories,1748439000,"{""time"":1748439000,""calories"":4}",1748488483
6804018672,893061509,heart_rate,1748439000,"{""time"":1748439000,""bpm"":76}",1748488478
6804018672,893061509,heart_rate,1748438940,"{""time"":1748438940,""bpm"":90}",1748488478
6804018672,893061509,calories,1748438940,"{""time"":1748438940,""calories"":2}",1748488483
6804018672,893061509,heart_rate,1748438820,"{""time"":1748438820,""bpm"":72}",1748488478
6804018672,893061509,calories,1748438820,"{""time"":1748438820,""calories"":3}",1748488483
6804018672,hlth.gen_125884730179666,calories,1748438760,"{""time"":1748438760,""calories"":0.71999997}",1748446318
6804018672,hlth.gen_125884730179666,steps,1748438760,"{""time"":1748438760,""steps"":18,""distance"":10,""calories"":0.71999997}",1748446316
6804018672,893061509,calories,1748438700,"{""time"":1748438700,""calories"":4}",1748488483
6804018672,893061509,intensity,1748438700,"{""time"":1748438700}",1748488483
